# t (s),mx (),my (),mz (),Edens_demag.region5 (J/m3),Edens_exch.region5 (J/m3),,
0,0.22856653,-0.10300761,0,8719.808,-0.00734736,,
0,0.23039038,-0.105983846,0,8726.389,-0.0032245098,,
0,0.23226589,-0.10892781,0,8732.818,-0.004826765,,
0,0.23419248,-0.111838594,0,8739.1,0.0042471727,,
0,0.23616959,-0.114715286,0,8745.227,-0.0016834867,,
0,0.2381966,-0.11755705,0,8751.202,-0.00088292133,,
0,0.24027291,-0.12036302,0,8757.0205,0.002710487,,
0,0.24239784,-0.123132296,0,8762.68,-0.008163843,,
0,0.2445708,-0.12586409,0,8768.182,0.0021358442,,
0,0.2467911,-0.12855752,0,8773.521,-0.011664011,,
0,0.24905808,-0.13121179,0,8778.698,-0.004274557,,
0,0.25137103,-0.13382612,0,8783.712,0.0016803988,,
0,0.25372922,-0.13639967,0,8788.558,-0.0035359396,,
0,0.25613204,-0.13893168,0,8793.239,0.00086536,,
0,0.25857863,-0.14142138,0,8797.75,0.0010926716,,
0,0.26106828,-0.14386797,0,8802.092,-0.0033838546,,
0,0.26360032,-0.14627074,0,8806.261,-0.0065086125,,
0,0.26617387,-0.14862898,0,8810.258,-0.0042345673,,
0,0.2687882,-0.15094192,0,8814.082,-0.008949711,,
0,0.27144247,-0.15320888,0,8817.731,-0.0044151973,,
0,0.27413592,-0.1554292,0,8821.202,0.0028200508,,
0,0.27686772,-0.15760216,0,8824.496,-0.0074207415,,
0,0.279637,-0.1597271,0,8827.613,-0.0015164079,,
0,0.28244296,-0.1618034,0,8830.552,-0.0023818312,,
0,0.2852847,-0.1638304,0,8833.308,-0.0029857524,,
0,0.28816143,-0.16580753,0,8835.885,0.006491673,,
0,0.2910722,-0.16773413,0,8838.278,-0.0065098833,,
0,0.29401615,-0.16960962,0,8840.491,-0.004466617,,
0,0.2969924,-0.17143346,0,8842.5205,0.0011005948,,
0,0.3,-0.17320508,0,8844.365,-0.0031385368,,
0,0.30303806,-0.17492396,0,8846.026,-0.0063126255,,
0,0.30610567,-0.17658952,0,8847.505,-0.000105502884,,
0,0.30920196,-0.1782013,0,8848.795,-0.0037633062,,
0,0.31232575,-0.1797588,0,8849.898,-0.0029777118,,
0,0.31547636,-0.18126155,0,8850.819,-0.00074628246,,
0,0.3186527,-0.1827091,0,8851.552,-0.0071421317,,
0,0.3218538,-0.18410097,0,8852.1,-0.0011502191,,
0,0.3250787,-0.18543676,0,8852.459,-0.004054206,,
0,0.32832643,-0.1867161,0,8852.634,0.0027271952,,
0,0.33159596,-0.18793853,0,8852.619,-0.009433465,,
0,0.33488637,-0.18910372,0,8852.418,-0.0043342086,,
0,0.33819658,-0.19021131,0,8852.032,-0.00089202146,,
0,0.34152567,-0.19126096,0,8851.46,0.005412751,,
0,0.34487247,-0.19225237,0,8850.698,-0.0034838812,,
0,0.3482362,-0.19318517,0,8849.753,-0.0009008273,,
0,0.35161564,-0.19405915,0,8848.619,-0.0022224458,,
0,0.35500976,-0.194874,0,8847.301,0.00047878947,,
0,0.35841763,-0.19562952,0,8845.8,-0.0022609474,,
0,0.36183816,-0.19632544,0,8844.111,0.001331905,,
0,0.36527035,-0.19696158,0,8842.239,0.0011120446,,
0,0.3687131,-0.19753766,0,8840.185,-0.0003663025,,
0,0.37216538,-0.19805361,0,8837.946,0.0035144305,,
0,0.37562615,-0.19850925,0,8835.524,-0.003187006,,
0,0.37909433,-0.19890438,0,8832.922,0.0025789437,,
0,0.38256884,-0.19923894,0,8830.139,-0.0038386104,,
0,0.38604873,-0.19951281,0,8827.176,-0.0048651183,,
0,0.3895328,-0.19972591,0,8824.033,-0.00083256443,,
0,0.39302012,-0.19987817,0,8820.714,-0.001074248,,
0,0.3965095,-0.19996955,0,8817.216,-0.007469439,,
